Date,Close,High,Low,Open,Volume,Year,Month,Day,Daily_Return,Price_Change,Days,PolyTrend,LoessTrend,Close_Diff
2019-10-07,-0.9090874716393724,-0.9277722809672072,-0.8988701669029778,-0.8934800165965762,-1.088923058112926,2019,10,7,0.7121034951521623,-0.1881733248390191,145,-0.5118381305048347,-0.8392001797331003,0.044833530551443124
2019-10-08,-0.9788996173091895,-0.9658335926740567,-0.9414752542647751,-0.9311517056502383,-1.285876919498247,2019,10,8,-1.149734847999618,-0.6573677722031465,146,-0.5103156881766042,-0.8445307487534977,-0.06981214566981708
2019-10-09,-0.9923497259195484,-0.9994543193306463,-0.9647144378369262,-0.9560532853383076,-1.3417118544103512,2019,10,9,-0.25084383983896896,-0.48845928195818183,147,-0.5087994682442181,-0.8501569419058167,-0.01345010861035889
2019-10-10,-1.0051592185145686,-1.0210223918200763,-0.9795616398012845,-0.982232022435534,-1.2903695811309186,2019,10,10,-0.24169609913527457,-0.2913948833535632,148,-0.5072894609157622,-0.8560392299405063,-0.012809492595020178
2019-10-11,-0.9244590587397602,-0.9499747228401537,-0.9563224562291334,-0.9988329942581927,-1.0775978069138996,2019,10,11,1.339700130283712,1.1349530836467063,149,-0.505785656399323,-0.8621228104478046,0.08070015977480838
2019-10-14,-0.8610515982017743,-0.8776581939314327,-0.8995802312074658,-0.9177432005111886,-1.2708758542361258,2019,10,14,1.0020919536023112,0.8722071302800355,152,-0.5013113618029688,-0.8683421147690691,0.06340746053798585
2019-10-15,-0.8046895605018375,-0.8376940163975654,-0.810755093345258,-0.855169809815376,-1.2795208243474787,2019,10,15,0.8587356629394353,0.7783660918966381,153,-0.49983227061545943,-0.8746266560202509,0.05636203769993686
2019-10-16,-0.8130157247641763,-0.8243723817741968,-0.7950686684317,-0.8168597243497542,-1.2848133158920274,2019,10,16,-0.15351035673301602,0.09334441334280175,154,-0.4983593332803981,-0.8809059350738722,-0.008326164262338787
2019-10-17,-0.7649799736579358,-0.7894829163505745,-0.7942939638021025,-0.8168597243497542,-1.334232593851415,2019,10,17,0.7102305753271728,0.7971342920662104,155,-0.49689254000587124,-0.8871140465624016,0.048035751106240476
2019-10-18,-0.8008466028813007,-0.8066105249515102,-0.8059135552654124,-0.7689719962021486,-1.2794612625455304,2019,10,18,-0.5636922625711184,-0.432152870358908,156,-0.4954318809999651,-0.8931935444195399,-0.03586662922336492
2019-10-21,-0.8424777905465894,-0.8305256308820085,-0.8114006393301436,-0.8072820816677705,-1.3340113643013214,2019,10,21,-0.6609485211566757,-0.4790751677975677,159,-0.49108661167483386,-0.8990964794251285,-0.04163118766528873
2019-10-22,-0.7707442880776224,-0.7285849145490279,-0.873694466736145,-0.8417613040378235,-0.31198189584163105,2019,10,22,1.0897235177786089,1.078650247309127,160,-0.4896503918242734,-0.9047804109139809,0.07173350246896704
2019-10-23,-0.7374393863655521,-0.7679148438611445,-0.7478158426054099,-0.7485399186527643,-1.3760109435037209,2019,10,23,0.4739846034379888,0.19656598124123226,161,-0.48822025728276514,-0.9102058595492016,0.033304901712070345
2019-10-24,-0.7227084146400243,-0.7583996672280503,-0.7258677522940936,-0.7402393107873539,-1.3743517218780184,2019,10,24,0.19146662996005762,0.290403434979052,162,-0.4867961982583954,-0.9153420401288345,0.01473097172552773
2019-10-25,-0.7592156592382492,-0.7545934515613067,-0.7194122866354508,-0.7274692014217612,-1.2596527089832965,2019,10,25,-0.562443006466241,-0.43215644562059935,163,-0.4853782049592503,-0.9201671977159804,-0.03650724459822485
2019-10-28,-0.7265511282383238,-0.7625228864782583,-0.7265131756279406,-0.7466242435160695,-1.3059832820702224,2019,10,28,0.461663933340038,0.3279398447020799,166,-0.4811605214940263,-0.9246641380634141,0.03266453099992539
2019-10-29,-0.7777895885843138,-0.7901174068958563,-0.7707320685630281,-0.780465070751168,-1.1539815634981665,2019,10,29,-0.7801214876213586,0.07457442085044215,167,-0.479766693176643,-0.9288266807726353,-0.05123846034599
2019-10-30,-0.6926058558141087,-0.7342941172045548,-0.7516888757947735,-0.7715260671123005,-1.033709267706854,2019,10,30,1.2577020359210063,1.1912594952459767,168,-0.47837888162491593,-0.9326624262214392,0.08518373277020508
2019-10-31,-0.8367134761269029,-0.7622056412056174,-0.8065591018958298,-0.7255537701932281,-0.5929774597760001,2019,10,31,-2.1130244711586066,-1.595756666931411,169,-0.4769970770469313,-0.9361905163807589,-0.14410762031279423
2019-11-01,-0.8450396403892416,-0.8675085273874114,-0.8400622666419169,-0.8392072337661741,-1.0590996129945283,2019,11,1,-0.15552869982843315,-0.04741534721756076,170,-0.47562126965077534,-0.9394389187947773,-0.008326164262338676
